error_Jacobi error_Gauss error_ICF error_ICNE error_Multigrid
18.750000 15.136719 24.001773 0.000000 0.000000
4.546046 3.345004 0.905382 0.000000 0.000000
0.461515 5.311480 0.007864 0.000000 0.000000
0.016071 287.841454 0.000063 0.000000 0.000000
0.000000 1883.325441 0.000000 0.000000 0.000000
0.000000 7441.631956 0.000000 0.000000 0.000000
0.000000 19288.094376 0.000000 0.000000 0.000000
0.000000 41817.109070 0.000000 0.000000 0.000000
0.000000 82033.719978 0.000000 0.000000 0.000000
0.000000 147206.355748 0.000000 0.000000 0.000000
0.000000 284524.388691 0.000000 0.000000 0.000000
0.000000 689472.155741 0.000000 0.000000 0.000000
0.000000 1446030.747471 0.000000 0.000000 0.000000
0.000000 3522519.265105 0.000000 0.000000 0.000000
0.000000 7227297.596375 0.000000 0.000000 0.000000
0.000000 22382843.012501 0.000000 0.000000 0.000000
0.000000 45808426.127668 0.000000 0.000000 0.000000
0.000000 134261468.091837 0.000000 0.000000 0.000000
0.000000 281508733.877241 0.000000 0.000000 0.000000
0.000000 924629732.475301 0.000000 0.000000 0.000000
0.000000 1869236492.217160 0.000000 0.000000 0.000000
0.000000 5964885630.705997 0.000000 0.000000 0.000000
0.000000 12616321256.454695 0.000000 0.000000 0.000000
0.000000 42030859211.727036 0.000000 0.000000 0.000000
0.000000 85407165052.687851 0.000000 0.000000 0.000000
0.000000 285408676602.624084 0.000000 0.000000 0.000000
0.000000 601645772103.074951 0.000000 0.000000 0.000000
0.000000 2025204559233.239990 0.000000 0.000000 0.000000
0.000000 4159617532250.328125 0.000000 0.000000 0.000000
0.000000 14241858821577.921875 0.000000 0.000000 0.000000
0.000000 29827314777199.031250 0.000000 0.000000 0.000000
0.000000 101662171108465.609375 0.000000 0.000000 0.000000
0.000000 210692980579904.468750 0.000000 0.000000 0.000000
0.000000 730313415240472.375000 0.000000 0.000000 0.000000
0.000000 1522754162678614.500000 0.000000 0.000000 0.000000
0.000000 5255750715864421.000000 0.000000 0.000000 0.000000
0.000000 10948074172768032.000000 0.000000 0.000000 0.000000
0.000000 38217155083342008.000000 0.000000 0.000000 0.000000
0.000000 79565821664198432.000000 0.000000 0.000000 0.000000
0.000000 277538031046813728.000000 0.000000 0.000000 0.000000
0.000000 579269877559485568.000000 0.000000 0.000000 0.000000
0.000000 2032891643013126912.000000 0.000000 0.000000 0.000000
0.000000 4233794482507141120.000000 0.000000 0.000000 0.000000
0.000000 14886419857781669888.000000 0.000000 0.000000 0.000000
0.000000 31082009597548752896.000000 0.000000 0.000000 0.000000
0.000000 109609880403172720640.000000 0.000000 0.000000 0.000000
