#Iteration #error_Jacobi #error_Gauss #error_ICF #error_ICNE #error_Multigrid #error_CG
0 3.108e+00 2.505e+00 5.870e+00 0.000e+00 1.235e-02 1.145e+01
1 1.828e+00 8.467e-01 5.835e-01 0.000e+00 1.471e-05 3.108e+00
2 1.085e+00 3.576e-01 2.034e-01 0.000e+00 1.329e-08 1.828e+00
3 7.076e-01 1.689e-01 1.026e-01 0.000e+00 6.586e-12 1.085e+00
4 4.901e-01 7.230e-02 4.155e-02 0.000e+00 7.208e-15 7.076e-01
5 3.439e-01 4.208e-02 2.087e-02 0.000e+00 8.196e-18 4.901e-01
6 2.528e-01 2.384e-02 1.107e-02 0.000e+00 0.000e+00 3.439e-01
7 1.843e-01 9.679e-03 4.168e-03 0.000e+00 0.000e+00 2.528e-01
8 1.391e-01 3.987e-03 1.359e-03 0.000e+00 0.000e+00 1.843e-01
9 1.032e-01 7.448e-04 2.280e-04 0.000e+00 0.000e+00 1.391e-01
10 7.852e-02 8.256e-05 2.937e-05 0.000e+00 0.000e+00 1.032e-01
11 5.855e-02 2.505e-05 4.248e-06 0.000e+00 0.000e+00 7.852e-02
12 4.435e-02 3.985e-06 7.512e-07 0.000e+00 0.000e+00 5.855e-02
13 3.284e-02 8.980e-07 1.056e-07 0.000e+00 0.000e+00 4.435e-02
14 2.451e-02 1.523e-07 2.017e-08 0.000e+00 0.000e+00 3.284e-02
15 1.782e-02 1.832e-08 2.693e-09 0.000e+00 0.000e+00 2.451e-02
16 1.294e-02 2.387e-09 1.797e-10 0.000e+00 0.000e+00 1.782e-02
17 9.065e-03 3.455e-10 1.506e-11 0.000e+00 0.000e+00 1.294e-02
18 6.111e-03 1.421e-10 1.201e-12 0.000e+00 0.000e+00 9.065e-03
19 3.490e-03 8.082e-11 2.101e-13 0.000e+00 0.000e+00 6.111e-03
20 1.466e-03 5.350e-12 7.957e-14 0.000e+00 0.000e+00 3.490e-03
21 4.676e-04 1.609e-13 2.384e-14 0.000e+00 0.000e+00 1.466e-03
22 1.993e-04 1.139e-14 3.036e-15 0.000e+00 0.000e+00 4.676e-04
23 1.426e-04 1.597e-15 6.023e-16 0.000e+00 0.000e+00 1.993e-04
24 7.290e-05 2.239e-16 0.000e+00 0.000e+00 0.000e+00 1.426e-04
