#Iteration #error_Jacobi #error_Gauss #error_ICF #error_ICNE #error_Multigrid #error_CG
0 5.094e+00 1.249e+00 7.115e+00 0.000e+00 6.084e-04 2.178e+01
1 2.150e+00 4.174e-01 4.907e-01 0.000e+00 2.804e-07 5.094e+00
2 1.121e+00 1.873e-01 1.504e-01 0.000e+00 8.359e-11 2.150e+00
3 6.565e-01 6.366e-02 5.158e-02 0.000e+00 7.743e-15 1.121e+00
4 4.085e-01 2.588e-02 1.651e-02 0.000e+00 1.654e-18 6.565e-01
5 2.645e-01 8.641e-03 4.341e-03 0.000e+00 0.000e+00 4.085e-01
6 1.746e-01 5.862e-04 5.942e-04 0.000e+00 0.000e+00 2.645e-01
7 1.166e-01 6.008e-05 4.805e-05 0.000e+00 0.000e+00 1.746e-01
8 7.785e-02 5.631e-06 4.010e-06 0.000e+00 0.000e+00 1.166e-01
9 5.168e-02 3.366e-07 4.474e-07 0.000e+00 0.000e+00 7.785e-02
10 3.374e-02 2.754e-08 2.872e-08 0.000e+00 0.000e+00 5.168e-02
11 2.154e-02 3.263e-09 9.893e-10 0.000e+00 0.000e+00 3.374e-02
12 1.324e-02 1.079e-09 6.366e-11 0.000e+00 0.000e+00 2.154e-02
13 7.732e-03 7.566e-11 8.132e-12 0.000e+00 0.000e+00 1.324e-02
14 1.157e-03 1.300e-12 1.136e-12 0.000e+00 0.000e+00 7.732e-03
15 4.873e-04 4.684e-14 3.065e-14 0.000e+00 0.000e+00 1.157e-03
16 1.932e-04 4.212e-15 8.836e-16 0.000e+00 0.000e+00 4.873e-04
17 7.179e-05 3.273e-16 0.000e+00 0.000e+00 0.000e+00 1.932e-04
18 2.324e-05 1.303e-17 0.000e+00 0.000e+00 0.000e+00 7.179e-05
19 8.059e-06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 2.324e-05
20 2.833e-06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 8.059e-06
21 1.047e-06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 2.833e-06
22 3.085e-07 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.047e-06
23 7.901e-08 0.000e+00 0.000e+00 0.000e+00 0.000e+00 3.085e-07
24 1.701e-08 0.000e+00 0.000e+00 0.000e+00 0.000e+00 7.901e-08
