#error_Jacobi #error_Gauss #error_ICF #error_ICNE #error_Multigrid #error_CG
2.421e-01 2.581e-01 3.198e-01 0.000e+00 1.910e-04 1.572e-01
1.623e-01 6.179e-02 7.195e-02 0.000e+00 9.354e-09 3.442e-01
7.985e-02 1.639e-03 1.043e-02 0.000e+00 5.703e-13 2.807e-01
3.262e-02 5.293e-06 3.871e-04 0.000e+00 3.778e-17 1.283e-01
2.177e-03 1.156e-08 1.633e-06 0.000e+00 0.000e+00 5.398e-02
4.810e-05 1.894e-10 1.135e-08 0.000e+00 0.000e+00 2.039e-02
5.775e-06 4.249e-12 7.115e-11 0.000e+00 0.000e+00 8.634e-03
2.357e-07 6.750e-15 2.088e-13 0.000e+00 0.000e+00 8.371e-05
6.072e-33 1.232e-17 1.430e-16 0.000e+00 0.000e+00 2.426e-06
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.115e-09
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 5.049e-32
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
