#error_Jacobi #error_Gauss #error_ICF #error_ICNE #error_Multigrid #error_CG
1.212e-01 1.685e-01 1.547e-01 0.000e+00 1.834e-04 8.209e-02
1.304e-01 1.423e-01 7.591e-02 0.000e+00 2.034e-07 1.405e-01
1.125e-01 8.324e-02 5.407e-02 0.000e+00 2.211e-10 1.943e-01
9.591e-02 3.730e-02 3.097e-02 0.000e+00 6.616e-14 1.896e-01
8.383e-02 1.062e-02 5.471e-03 0.000e+00 1.128e-17 1.463e-01
6.594e-02 2.004e-04 6.501e-04 0.000e+00 0.000e+00 1.188e-01
5.617e-02 9.234e-06 5.016e-05 0.000e+00 0.000e+00 8.806e-02
3.413e-02 1.909e-06 2.019e-06 0.000e+00 0.000e+00 6.710e-02
2.214e-02 4.114e-08 1.722e-07 0.000e+00 0.000e+00 4.754e-02
5.630e-03 1.757e-09 5.636e-09 0.000e+00 0.000e+00 3.336e-02
6.462e-04 3.107e-10 3.528e-10 0.000e+00 0.000e+00 1.966e-02
6.914e-05 9.783e-11 7.033e-11 0.000e+00 0.000e+00 8.778e-03
4.915e-05 1.944e-12 3.338e-12 0.000e+00 0.000e+00 3.775e-03
2.192e-05 1.452e-13 8.138e-14 0.000e+00 0.000e+00 1.742e-03
3.626e-06 5.859e-15 1.498e-15 0.000e+00 0.000e+00 3.778e-04
2.048e-06 8.830e-17 0.000e+00 0.000e+00 0.000e+00 4.800e-05
3.241e-07 0.000e+00 0.000e+00 0.000e+00 0.000e+00 2.331e-05
9.389e-08 0.000e+00 0.000e+00 0.000e+00 0.000e+00 8.532e-06
1.725e-08 0.000e+00 0.000e+00 0.000e+00 0.000e+00 4.067e-06
1.603e-09 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.147e-06
2.088e-10 0.000e+00 0.000e+00 0.000e+00 0.000e+00 4.262e-07
7.494e-12 0.000e+00 0.000e+00 0.000e+00 0.000e+00 9.560e-08
5.744e-13 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.667e-08
7.765e-14 0.000e+00 0.000e+00 0.000e+00 0.000e+00 3.379e-09
8.082e-15 0.000e+00 0.000e+00 0.000e+00 0.000e+00 6.139e-10
3.181e-16 0.000e+00 0.000e+00 0.000e+00 0.000e+00 3.096e-11
1.475e-17 0.000e+00 0.000e+00 0.000e+00 0.000e+00 8.505e-13
